商品マスタ用テンプレート,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
商品マスタID,Mycaアプリ上でのID,商品名,商品名カナ,エキスパンション,カード番号,レアリティ,封入パック,キーワード,JANコード,表示順,ジャンル,カテゴリ,販売店舗価格,買取価格,買取専用,自動印刷,店舗タブレット表示,在庫数無限商品,端数処理を無効にする,商品一覧に表示しない,アップロードエラー,,,,,,,,,,,
ハンドル名,（この部分は変更しないでください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,myca_item_id,display_name,display_name_ruby,expansion,cardnumber,rarity,pack_name,keyword,readonly_product_code,order_number,genre_display_name,category_display_name,sell_price,buy_price,is_buy_only,allow_auto_print_label,tablet_allowed,infinite_stock,disallow_round,hidden,upload_error,,,,,,,,,,,
この下の行からデータ開始,（この下からデータを記入してください）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1170907,194920,ディアルガ,,CP2,017/027,R,伝説キラコレクション,CP2 017/027 ディアルガ でぃあるが,,0,ポケモン,カード,10800,7500,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031109_P_DEIARUGA.jpg,,,,,,,,,,False,ディアルガ,017027,ディアルガ,017027,ディアルガ,017027
1170922,194895,フーパEX,,CP2,012/027,RR,伝説キラコレクション,CP2 012/027 フーパEX大文字 フーパEX ふーぱEX,,0,ポケモン,カード,1080,800,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031103_P_FUPAEX.jpg,,,,,,,,,,False,フーパex,012027,フーパex,012027,フーパex,012027
1170923,194890,ソーナンス,,CP2,011/027,C,伝説キラコレクション,CP2 011/027 ソーナンス そーなんす,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031102_P_SONANSU.jpg,,,,,,,,,,False,ソーナンス,011027,ソーナンス,011027,ソーナンス,011027
1170933,194885,デデンネ,,CP2,010/027,C,伝説キラコレクション,CP2 010/027 デデンネ ででんね,,0,ポケモン,カード,980,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031101_P_DEDENNE.jpg,,,,,,,,,,False,デデンネ,010027,デデンネ,010027,デデンネ,010027
1170935,194880,ゼクロム,,CP2,009/027,R,伝説キラコレクション,CP2 009/027 ゼクロム ぜくろむ,,0,ポケモン,カード,7880,11000,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031100_P_ZEKUROMU.jpg,,,,,,,,,,False,ゼクロム,009027,ゼクロム,009027,ゼクロム,009027
1170937,194875,ピカチュウEX,,CP2,008/027,RR,伝説キラコレクション,CP2 008/027 ピカチュウEX大文字 ピカチュウEX ぴかちゅうEX,,0,ポケモン,カード,15800,19000,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031099_P_PIKACHUUEX.jpg,,,,,,,,,,False,ピカチュウex,008027,ピカチュウex,008027,ピカチュウex,008027
1170947,194865,ケロマツ,,CP2,006/027,C,伝説キラコレクション,CP2 006/027 ケロマツ けろまつ,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031098_P_KEROMATSU.jpg,,,,,,,,,,False,ケロマツ,006027,ケロマツ,006027,ケロマツ,006027
1170948,194860,パルキア,,CP2,005/027,R,伝説キラコレクション,CP2 005/027 パルキア ぱるきあ,,0,ポケモン,カード,10800,7500,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031097_P_PARUKIA.jpg,,,,,,,,,,False,パルキア,005027,パルキア,005027,パルキア,005027
1170949,194855,テールナー,,CP2,004/027,U,伝説キラコレクション,CP2 004/027 テールナー てーるなー,,0,ポケモン,カード,100,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031096_P_TERUNA.jpg,,,,,,,,,,False,テールナー,004027,テールナー,004027,テールナー,004027
1170951,194850,フォッコ,,CP2,003/027,C,伝説キラコレクション,CP2 003/027 フォッコ ふぉっこ,,0,ポケモン,カード,100,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031095_P_FOKKO.jpg,,,,,,,,,,False,フォッコ,003027,フォッコ,003027,フォッコ,003027
1170952,194845,レシラム,,CP2,002/027,R,伝説キラコレクション,CP2 002/027 レシラム れしらむ,,0,ポケモン,カード,6080,9000,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031094_P_RESHIRAMU.jpg,,,,,,,,,,False,レシラム,002027,レシラム,002027,レシラム,002027
1170960,194840,ハリマロン,,CP2,001/027,C,伝説キラコレクション,CP2 001/027 ハリマロン はりまろん,,0,ポケモン,カード,100,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP2/031093_P_HARIMARON.jpg,,,,,,,,,,False,ハリマロン,001027,ハリマロン,001027,ハリマロン,001027
1170961,194835,トレーナーズポスト,,XY7,097/081,UR,バンデットリング,XY7 097/081 トレーナーズポスト とれーなーずぽすと,,0,ポケモン,カード,15800,14000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/torenapostur.jpg,,,,,,,,,,False,トレーナーズポスト,097081,トレーナーズポスト,097081,トレーナーズポスト,097081
1170963,194830,エネルギー回収,,XY7,096/081,UR,バンデットリング,XY7 096/081 エネルギーカイシュウ えねるぎーかいしゅう,,0,ポケモン,カード,15800,14000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/energykaisyuuur.jpg,,,,,,,,,,False,エネルギー回収,096081,エネルギー回収,096081,エネルギー回収,096081
1170964,194825,MレックウザEX,,XY7,095/081,UR,バンデットリング,XY7 095/081 MレックウザEX大文字 メガレックウザEX めがれっくうざEX,,0,ポケモン,カード,36800,150000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/822rekuuza.jpg,,,,,,,,,,False,mレックウザex,095081,mレックウザex,095081,mレックウザex,095081
1170965,194820,ゲンシグラードンEX,,XY7,094/081,UR,バンデットリング,XY7 094/081 ゲンシグラードンEX大文字 ゲンシグラードンEX げんしぐらーどんEX,,0,ポケモン,カード,20800,74000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/genshigradonexur.jpg,,,,,,,,,,False,ゲンシグラードンex,094081,ゲンシグラードンex,094081,ゲンシグラードンex,094081
1170973,194815,ゲンシカイオーガEX,,XY7,093/081,UR,バンデットリング,XY7 093/081 ゲンシカイオーガEX大文字 ゲンシカイオーガEX げんしかいおーがEX,,0,ポケモン,カード,24800,74000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/031090_P_GENSHIKAIOGAEX.jpg,,,,,,,,,,False,ゲンシカイオーガex,093081,ゲンシカイオーガex,093081,ゲンシカイオーガex,093081
1170974,194810,ルギアEX,,XY7,092/081,SR,バンデットリング,XY7 092/081 ルギアEX大文字 ルギアEX るぎあEX,,0,ポケモン,カード,45800,50000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035822_P_RUGIAEX.jpg,,,,,,,,,,False,ルギアex,092081,ルギアex,092081,ルギアex,092081
1170976,194805,ギラティナEX,,XY7,091/081,SR,バンデットリング,XY7 091/081 ギラティナEX大文字 ギラティナEX ぎらてぃなEX,,0,ポケモン,カード,36800,39000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035821_P_GIRATEINAEX.jpg,,,,,,,,,,False,ギラティナex,091081,ギラティナex,091081,ギラティナex,091081
1170977,194800,MバンギラスEX,,XY7,090/081,SR,バンデットリング,XY7 090/081 MバンギラスEX大文字 メガバンギラスEX めがばんぎらすEX,,0,ポケモン,カード,13800,26000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035820_P_MBANGIRASUEX.jpg,,,,,,,,,,False,mバンギラスex,090081,mバンギラスex,090081,mバンギラスex,090081
1170978,194795,バンギラスEX,,XY7,089/081,SR,バンデットリング,XY7 089/081 バンギラスEX大文字 バンギラスEX ばんぎらすEX,,0,ポケモン,カード,15800,19000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035819_P_BANGIRASUEX.jpg,,,,,,,,,,False,バンギラスex,089081,バンギラスex,089081,バンギラスex,089081
1170986,194790,カイリキーEX,,XY7,088/081,SR,バンデットリング,XY7 088/081 カイリキーEX大文字 カイリキーEX かいりきーEX,,0,ポケモン,カード,6080,7500,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035818_P_KAIRIKIEX.jpg,,,,,,,,,,False,カイリキーex,088081,カイリキーex,088081,カイリキーex,088081
1170988,194785,フーパEX,,XY7,087/081,SR,バンデットリング,XY7 087/081 フーパEX大文字 フーパEX ふーぱEX,,0,ポケモン,カード,6680,7000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035817_P_FUPAEX.jpg,,,,,,,,,,False,フーパex,087081,フーパex,087081,フーパex,087081
1170989,194780,MデンリュウEX,,XY7,086/081,SR,バンデットリング,XY7 086/081 MデンリュウEX大文字 メガデンリュウEX めがでんりゅうEX,,0,ポケモン,カード,15800,26000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035816_P_MDENRYUUEX.jpg,,,,,,,,,,False,mデンリュウex,086081,mデンリュウex,086081,mデンリュウex,086081
1170991,194775,デンリュウEX,,XY7,085/081,SR,バンデットリング,XY7 085/081 デンリュウEX大文字 デンリュウEX でんりゅうEX,,0,ポケモン,カード,10800,14000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035815_P_DENRYUUEX.jpg,,,,,,,,,,False,デンリュウex,085081,デンリュウex,085081,デンリュウex,085081
1170992,194770,キュレムEX,,XY7,084/081,SR,バンデットリング,XY7 084/081 キュレムEX大文字 キュレムEX きゅれむEX,,0,ポケモン,カード,7280,8000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035814_P_KYUREMUEX.jpg,,,,,,,,,,False,キュレムex,084081,キュレムex,084081,キュレムex,084081
1170999,194765,MジュカインEX,,XY7,083/081,SR,バンデットリング,XY7 083/081 MジュカインEX大文字 メガジュカインEX めがじゅかいんEX,,0,ポケモン,カード,19800,28000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035813_P_MJUKAINEX.jpg,,,,,,,,,,False,mジュカインex,083081,mジュカインex,083081,mジュカインex,083081
1171001,194760,ジュカインEX,,XY7,082/081,SR,バンデットリング,XY7 082/081 ジュカインEX大文字 ジュカインEX じゅかいんEX,,0,ポケモン,カード,9680,15000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7/035812_P_JUKAINEX.jpg,,,,,,,,,,False,ジュカインex,082081,ジュカインex,082081,ジュカインex,082081
1171016,194735,オカルトマニア,,XY7,077/081,U,バンデットリング,XY7 077/081 オカルトマニア おかるとまにあ,,0,ポケモン,カード,480,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031050_T_OKARUTOMANIA.jpg,,,,,,,,,,False,オカルトマニア,077081,オカルトマニア,077081,オカルトマニア,077081
1171079,194635,ギラティナEX,,XY7,057/081,RR,バンデットリング,XY7 057/081 ギラティナEX大文字 ギラティナEX ぎらてぃなEX,,0,ポケモン,カード,1980,1200,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031030_P_GIRATEINAEX.jpg,,,,,,,,,,False,ギラティナex,057081,ギラティナex,057081,ギラティナex,057081
1171246,194565,MバンギラスEX,,XY7,043/081,RR,バンデットリング,XY7 043/081 MバンギラスEX大文字 メガバンギラスEX めがばんぎらすEX,,0,ポケモン,カード,0,7500,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031016_P_MBANGIRASUEX.jpg,,,,,,,,,,False,mバンギラスex,043081,mバンギラスex,043081,mバンギラスex,043081
1171272,194510,ヤジロン,,XY7,032/081,C,バンデットリング,XY7 032/081 ヤジロン やじろん,,0,ポケモン,カード,0,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031005_P_YAJIRON.jpg,,,,,,,,,,False,ヤジロン,032081,ヤジロン,032081,ヤジロン,032081
1171277,194500,アンノーン,,XY7,030/081,C,バンデットリング,XY7 030/081 アンノーン あんのーん,,0,ポケモン,カード,280,250,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031003_P_ANNON.jpg,,,,,,,,,,False,アンノーン,030081,アンノーン,030081,アンノーン,030081
1171284,194490,MデンリュウEX,,XY7,028/081,RR,バンデットリング,XY7 028/081 MデンリュウEX大文字 メガデンリュウEX めがでんりゅうEX,,0,ポケモン,カード,1580,1800,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031001_P_MDENRYUUEX.jpg,,,,,,,,,,False,mデンリュウex,028081,mデンリュウex,028081,mデンリュウex,028081
1171285,194485,デンリュウEX,,XY7,027/081,RR,バンデットリング,XY7 027/081 デンリュウEX大文字 デンリュウEX でんりゅうEX,,0,ポケモン,カード,1080,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/031000_P_DENRYUUEX.jpg,,,,,,,,,,False,デンリュウex,027081,デンリュウex,027081,デンリュウex,027081
1171299,194455,ギャラドス,,XY7,021/081,R,バンデットリング,XY7 021/081 ギャラドス ぎゃらどす,,0,ポケモン,カード,8480,16000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/030994_P_GYARADOSU.jpg,,,,,,,,,,False,ギャラドス,021081,ギャラドス,021081,ギャラドス,021081
1171355,194390,MジュカインEX,,XY7,008/081,RR,バンデットリング,XY7 008/081 MジュカインEX大文字 メガジュカインEX めがじゅかいんEX,,0,ポケモン,カード,980,2500,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/030981_P_MJUKAINEX.jpg,,,,,,,,,,False,mジュカインex,008081,mジュカインex,008081,mジュカインex,008081
1171361,194385,ジュカインEX,,XY7,007/081,RR,バンデットリング,XY7 007/081 ジュカインEX大文字 ジュカインEX じゅかいんEX,,0,ポケモン,カード,380,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/030980_P_JUKAINEX.jpg,,,,,,,,,,False,ジュカインex,007081,ジュカインex,007081,ジュカインex,007081
1171382,194365,ラフレシア,,XY7,003/081,U,バンデットリング,XY7 003/081 ラフレシア らふれしあ,,0,ポケモン,カード,780,300,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY7-B/030976_P_RAFURESHIA.jpg,,,,,,,,,,False,ラフレシア,003081,ラフレシア,003081,ラフレシア,003081
1171393,194350,バトルサーチャー,,XY6,091/078,UR,エメラルドブレイク,XY6 091/078 バトルサーチャー ばとるさーちゃー,,0,ポケモン,カード,32800,23000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/battlesarcherur.jpg,,,,,,,,,,False,バトルサーチャー,091078,バトルサーチャー,091078,バトルサーチャー,091078
1171396,194345,エネルギーつけかえ,,XY6,090/078,UR,エメラルドブレイク,XY6 090/078 エネルギーツケカエ えねるぎーつけかえ,,0,ポケモン,カード,13800,14000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/enetsukekaeur.jpg,,,,,,,,,,False,エネルギーつけかえ,090078,エネルギーつけかえ,090078,エネルギーつけかえ,090078
1171399,194340,ミツル,,XY6,089/078,SR,エメラルドブレイク,XY6 089/078 ミツル みつる,,0,ポケモン,カード,10800,14000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035811_T_MITSURU.jpg,,,,,,,,,,False,ミツル,089078,ミツル,089078,ミツル,089078
1171401,194335,ナギ,,XY6,088/078,SR,エメラルドブレイク,XY6 088/078 ナギ なぎ,,0,ポケモン,カード,30800,39000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035810_T_NAGI.jpg,,,,,,,,,,False,ナギ,088078,ナギ,088078,ナギ,088078
1171405,194330,シェイミEX,,XY6,087/078,SR,エメラルドブレイク,XY6 087/078 シェイミEX大文字 シェイミEX しぇいみEX,,0,ポケモン,カード,11800,11000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035806_P_SHIEIMIEX.jpg,,,,,,,,,,False,シェイミex,087078,シェイミex,087078,シェイミex,087078
1171408,194325,MレックウザEX,,XY6,086/078,SR,エメラルドブレイク,XY6 086/078 MレックウザEX大文字 メガレックウザEX めがれっくうざEX,,0,ポケモン,カード,51800,190000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035809_P_MREKKUUZAEX.jpg,,,,,,,,,,False,mレックウザex,086078,mレックウザex,086078,mレックウザex,086078
1171412,194320,レックウザEX,,XY6,085/078,SR,エメラルドブレイク,XY6 085/078 レックウザEX大文字 レックウザEX れっくうざEX,,0,ポケモン,カード,26800,40000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035805_P_REKKUUZAEX.jpg,,,,,,,,,,False,レックウザex,085078,レックウザex,085078,レックウザex,085078
1171415,194315,サザンドラEX,,XY6,084/078,SR,エメラルドブレイク,XY6 084/078 サザンドラEX大文字 サザンドラEX さざんどらEX,,0,ポケモン,カード,12800,18000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035804_P_SAZANDORAEX.jpg,,,,,,,,,,False,サザンドラex,084078,サザンドラex,084078,サザンドラex,084078
1171417,194310,MラティオスEX,,XY6,083/078,SR,エメラルドブレイク,XY6 083/078 MラティオスEX大文字 メガラティオスEX めがらてぃおすEX,,0,ポケモン,カード,65800,64000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035808_P_MRATEIOSUEX.jpg,,,,,,,,,,False,mラティオスex,083078,mラティオスex,083078,mラティオスex,083078
1171420,194305,ラティオスEX,,XY6,082/078,SR,エメラルドブレイク,XY6 082/078 ラティオスEX大文字 ラティオスEX らてぃおすEX,,0,ポケモン,カード,18800,23000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035803_P_RATEIOSUEX.jpg,,,,,,,,,,False,ラティオスex,082078,ラティオスex,082078,ラティオスex,082078
1171423,194300,MエルレイドEX,,XY6,081/078,SR,エメラルドブレイク,XY6 081/078 MエルレイドEX大文字 メガエルレイドEX めがえるれいどEX,,0,ポケモン,カード,12800,26000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035807_P_MERUREIDOEX.jpg,,,,,,,,,,False,mエルレイドex,081078,mエルレイドex,081078,mエルレイドex,081078
1171427,194295,エルレイドEX,,XY6,080/078,SR,エメラルドブレイク,XY6 080/078 エルレイドEX大文字 エルレイドEX えるれいどEX,,0,ポケモン,カード,7280,7000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035802_P_ERUREIDOEX.jpg,,,,,,,,,,False,エルレイドex,080078,エルレイドex,080078,エルレイドex,080078
1171430,194290,ボルトロスEX,,XY6,079/078,SR,エメラルドブレイク,XY6 079/078 ボルトロスEX大文字 ボルトロスEX ぼるとろすEX,,0,ポケモン,カード,4980,6000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6/035801_P_BORUTOROSUEX.jpg,,,,,,,,,,False,ボルトロスex,079078,ボルトロスex,079078,ボルトロスex,079078
1171433,194285,ダブルドラゴンエネルギー,,XY6,078/078,U,エメラルドブレイク,XY6 078/078 ダブルドラゴンエネルギー だぶるどらごんえねるぎー,,0,ポケモン,カード,780,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030933_E_DABURUDORAGONENERUGI.jpg,,,,,,,,,,False,ダブルドラゴンエネルギー,078078,ダブルドラゴンエネルギー,078078,ダブルドラゴンエネルギー,078078
1171436,194280,スカイフィールド,,XY6,077/078,U,エメラルドブレイク,XY6 077/078 スカイフィールド すかいふぃーるど,,0,ポケモン,カード,580,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030932_T_SUKAIFIRUDO.jpg,,,,,,,,,,False,スカイフィールド,077078,スカイフィールド,077078,スカイフィールド,077078
1171439,194275,ミツル,,XY6,076/078,U,エメラルドブレイク,XY6 076/078 ミツル みつる,,0,ポケモン,カード,380,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030931_T_MITSURU.jpg,,,,,,,,,,False,ミツル,076078,ミツル,076078,ミツル,076078
1171457,194245,トレーナーズポスト,,XY6,070/078,U,エメラルドブレイク,XY6 070/078 トレーナーズポスト とれーなーずぽすと,,0,ポケモン,カード,980,500,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030925_T_TORENAZUPOSUTO.jpg,,,,,,,,,,False,トレーナーズポスト,070078,トレーナーズポスト,070078,トレーナーズポスト,070078
1171479,194210,シェイミEX,,XY6,063/078,RR,エメラルドブレイク,XY6 063/078 シェイミEX大文字 シェイミEX しぇいみEX,,0,ポケモン,カード,580,150,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030918_P_SHIEIMIEX.jpg,,,,,,,,,,False,シェイミex,063078,シェイミex,063078,シェイミex,063078
1171480,194205,MレックウザEX,,XY6,062/078,RR,エメラルドブレイク,XY6 062/078 MレックウザEX大文字 メガレックウザEX めがれっくうざEX,,0,ポケモン,カード,880,7000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030917_P_MREKKUUZAEX.jpg,,,,,,,,,,False,mレックウザex,062078,mレックウザex,062078,mレックウザex,062078
1171483,194200,レックウザEX,,XY6,061/078,RR,エメラルドブレイク,XY6 061/078 レックウザEX大文字 レックウザEX れっくうざEX,,0,ポケモン,カード,880,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030916_P_REKKUUZAEX.jpg,,,,,,,,,,False,レックウザex,061078,レックウザex,061078,レックウザex,061078
1171514,194150,レシラム,,XY6,051/078,R,エメラルドブレイク,XY6 051/078 レシラム れしらむ,,0,ポケモン,カード,180,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030906_P_RESHIRAMU.jpg,,,,,,,,,,False,レシラム,051078,レシラム,051078,レシラム,051078
1171519,194140,MラティオスEX,,XY6,049/078,RR,エメラルドブレイク,XY6 049/078 MラティオスEX大文字 メガラティオスEX めがらてぃおすEX,,0,ポケモン,カード,880,4000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030904_P_MRATEIOSUEX.jpg,,,,,,,,,,False,mラティオスex,049078,mラティオスex,049078,mラティオスex,049078
1171523,194135,ラティオスEX,,XY6,048/078,RR,エメラルドブレイク,XY6 048/078 ラティオスEX大文字 ラティオスEX らてぃおすEX,,0,ポケモン,カード,880,600,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030903_P_RATEIOSUEX.jpg,,,,,,,,,,False,ラティオスex,048078,ラティオスex,048078,ラティオスex,048078
1171692,194050,MエルレイドEX,,XY6,031/078,RR,エメラルドブレイク,XY6 031/078 MエルレイドEX大文字 メガエルレイドEX めがえるれいどEX,,0,ポケモン,カード,280,1800,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030886_P_MERUREIDOEX.jpg,,,,,,,,,,False,mエルレイドex,031078,mエルレイドex,031078,mエルレイドex,031078
1171795,193900,タマタマ,,XY6,001/078,C,エメラルドブレイク,XY6 001/078 タマタマ たまたま,,0,ポケモン,カード,0,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY6-B/030856_P_TAMATAMA.jpg,,,,,,,,,,False,タマタマ,001078,タマタマ,001078,タマタマ,001078
1171806,193885,ダブルドラゴンエネルギー,,XYD,018/018,,メガバトルデッキ60 MレックウザEX,XYD 018/018 ダブルドラゴンエネルギー だぶるどらごんえねるぎー,,0,ポケモン,カード,780,400,☐,https://www.pokemon-card.com/assets/images/card_images/large/XYD/030951_E_DABURUDORAGONENERUGI.jpg,,,,,,,,,,False,ダブルドラゴンエネルギー,018018,ダブルドラゴンエネルギー,018018,ダブルドラゴンエネルギー,018018
1171817,193865,ダイゴ,,XYD,014/018,,メガバトルデッキ60 MレックウザEX,XYD 014/018 ダイゴ だいご,,0,ポケモン,カード,280,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/XYD/030947_T_DAIGO.jpg,,,,,,,,,,False,ダイゴ,014018,ダイゴ,014018,ダイゴ,014018
1171844,193825,MレックウザEX,,XYD,006/018,,メガバトルデッキ60 MレックウザEX,XYD 006/018 MレックウザEX大文字 メガレックウザEX めがれっくうざEX,,0,ポケモン,カード,10800,9000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XYD/030939_P_MREKKUUZAEX.jpg,,,,,,,,,,False,mレックウザex,006018,mレックウザex,006018,mレックウザex,006018
1171871,193785,マグマ団の秘密基地,,CP1,032/034,U,マグマ団VSアクア団 ダブルクライシス,CP1 032/034 マグマダンノヒミツキチ まぐまだんのひみつきち,,0,ポケモン,カード,280,50,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP1/030847_T_MAGUMADANNOHIMITSUKICHI.jpg,,,,,,,,,,False,マグマ団の秘密基地,032034,マグマ団の秘密基地,032034,マグマ団の秘密基地,032034
1171873,193780,アクア団の秘密基地,,CP1,031/034,U,マグマ団VSアクア団 ダブルクライシス,CP1 031/034 アクアダンノヒミツキチ あくあだんのひみつきち,,0,ポケモン,カード,380,100,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP1/030846_T_AKUADANNOHIMITSUKICHI.jpg,,,,,,,,,,False,アクア団の秘密基地,031034,アクア団の秘密基地,031034,アクア団の秘密基地,031034
1171924,193700,マグマ団のグラードンEX,,CP1,015/034,RR,マグマ団VSアクア団 ダブルクライシス,CP1 015/034 マグマ団のグラードンEX大文字 マグマダンノグラードンEX まぐまだんのぐらーどんEX,,0,ポケモン,カード,44800,95000,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP1/030830_P_MAGUMADANNOGURADONEX.jpg,,,,,,,,,,False,マグマ団のグラードンex,015034,マグマ団のグラードンex,015034,マグマ団のグラードンex,015034
1171962,193655,アクア団のカイオーガEX,,CP1,006/034,RR,マグマ団VSアクア団 ダブルクライシス,CP1 006/034 アクア団のカイオーガEX大文字 アクアダンノカイオーガEX あくあだんのかいおーがEX,,0,ポケモン,カード,68800,120000,☐,https://www.pokemon-card.com/assets/images/card_images/large/CP1/030821_P_AKUADANNOKAIOGAEX.jpg,,,,,,,,,,False,アクア団のカイオーガex,006034,アクア団のカイオーガex,006034,アクア団のカイオーガex,006034
1171991,193625,じゃくてんほけん,,XY5,080/070,UR,ガイアボルケーノ,XY5 080/070 ジャクテンホケン じゃくてんほけん,,0,ポケモン,カード,6080,5000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/zyakutenhokenur.jpg,,,,,,,,,,False,じゃくてんほけん,080070,じゃくてんほけん,080070,じゃくてんほけん,080070
1171994,193620,ポケモンいれかえ,,XY5,079/070,UR,ガイアボルケーノ,XY5 079/070 ポケモンイレカエ ぽけもんいれかえ,,0,ポケモン,カード,9680,8000,☐,https://www.cardrush-pokemon.jp/data/cardrushpokemon/product/pokemonur.jpg,,,,,,,,,,False,ポケモンいれかえ,079070,ポケモンいれかえ,079070,ポケモンいれかえ,079070
1172000,193615,マツブサの隠し玉,,XY5,078/070,SR,ガイアボルケーノ,XY5 078/070 マツブサノカクシダマ まつぶさのかくしだま,,0,ポケモン,カード,8480,9500,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY5-Bg/035792_T_MATSUBUSANOKAKUSHIDAMA.jpg,,,,,,,,,,False,マツブサの隠し玉,078070,マツブサの隠し玉,078070,マツブサの隠し玉,078070
1172003,193610,センパイとコウハイ,,XY5,077/070,SR,ガイアボルケーノ,XY5 077/070 センパイトコウハイ せんぱいとこうはい,,0,ポケモン,カード,60800,71000,☐,https://www.pokemon-card.com/assets/images/card_images/large/XY5-Bg/035791_T_SENPAITOKOUHAI.jpg,,,,,,,,,,False,センパイとコウハイ,077070,センパイとコウハイ,077070,センパイとコウハイ,077070
